id,score,rank,previous_value,raw_usd,usd,eth,eth_actual,is_listed,is_purchased,give_away_wallet
5770,1818.76,1,405.427,405.4715,405,0.1053,,,,
969,1792.46,2,405.3825,405.427,405,0.1053,,,,
2234,1745.15,3,405.338,405.3825,405,0.1053,,,,
5730,1742.42,4,405.2935,405.338,405,0.1053,,,,
382,1725.57,5,405.249,405.2935,405,0.1053,,,,
1986,1722.77,6,405.2045,405.249,405,0.1053,,,,
330,1348.87,7,405.16,405.2045,405,0.1053,,,,
5551,1255.77,8,405.1155,405.16,405,0.1053,,,,
4033,1232.72,9,405.071,405.1155,405,0.1053,,,,
6182,1205.35,10,405.0265,405.071,405,0.1053,,,,
5997,1204.61,11,404.982,405.0265,405,0.1053,,,,
690,1189.99,12,404.9375,404.982,405,0.1053,,,,
7359,1182.68,13,404.893,404.9375,405,0.1053,,,,
1892,1177.64,14,404.8485,404.893,405,0.1053,,,,
3153,1176.47,15,404.804,404.8485,405,0.1053,,,,
798,1172.29,16,404.7595,404.804,405,0.1053,,,,
2147,1168.96,17,404.715,404.7595,405,0.1053,,,,
3993,1168.2,18,404.6705,404.715,405,0.1053,,,,
6580,1167.98,19,404.626,404.6705,405,0.1053,,,,
8466,1164.02,20,404.5815,404.626,405,0.1053,,,,
4119,1160.92,21,404.537,404.5815,405,0.1053,,,,
7656,1157.92,22,404.4925,404.537,405,0.1053,,,,
7474,1156.98,23,404.448,404.4925,404,0.10504,,,,
3969,1150.58,24,404.4035,404.448,404,0.10504,,,,
5042,1148.26,25,404.359,404.4035,404,0.10504,,,,
8453,1128.5,26,404.3145,404.359,404,0.10504,,,,
3574,1124.7,27,404.27,404.3145,404,0.10504,,,,
5019,1105.83,28,404.2255,404.27,404,0.10504,,,,
4123,1103.51,29,404.181,404.2255,404,0.10504,,,,
562,1092.48,30,404.1365,404.181,404,0.10504,,,,
8127,1084.62,31,404.092,404.1365,404,0.10504,,,,
2233,1080,32,404.0475,404.092,404,0.10504,,,,
4656,1068.82,33,404.003,404.0475,404,0.10504,,,,
1044,1065.9,34,403.9585,404.003,404,0.10504,,,,
4852,1065.16,35,403.914,403.9585,404,0.10504,,,,
3699,1054.27,36,403.8695,403.914,404,0.10504,,,,
146,1051,37,403.825,403.8695,404,0.10504,,,,
2665,765.77,38,403.7805,403.825,404,0.10504,,,,
7647,730.18,39,403.736,403.7805,404,0.10504,,,,
5912,725.19,40,403.6915,403.736,404,0.10504,,,,
3480,721.18,41,403.647,403.6915,404,0.10504,,,,
8373,713.98,42,403.6025,403.647,404,0.10504,,,,
1169,710.34,43,403.558,403.6025,404,0.10504,,,,
1775,707.09,44,403.5135,403.558,404,0.10504,,,,
467,699.32,45,403.469,403.5135,404,0.10504,,,,
5791,697.31,46,403.4245,403.469,403,0.10478,,,,
5890,694.78,47,403.38,403.4245,403,0.10478,,,,
6080,687.31,48,403.3355,403.38,403,0.10478,,,,
7841,682.95,49,403.291,403.3355,403,0.10478,,,,
3092,679.74,50,403.2465,403.291,403,0.10478,,,,
1957,668.59,51,403.202,403.2465,403,0.10478,,,,
822,665.01,52,403.1575,403.202,403,0.10478,,,,
2028,659.76,53,403.113,403.1575,403,0.10478,,,,
5800,655.79,54,403.0685,403.113,403,0.10478,,,,
2608,648.33,55,403.024,403.0685,403,0.10478,,,,
2330,647.5,56,402.9795,403.024,403,0.10478,,,,
1866,646.66,57,402.935,402.9795,403,0.10478,,,,
2453,640.77,58,402.8905,402.935,403,0.10478,,,,
